comp wlog structure.volume Acharge Bcharge Ccharge dos_ef AColumn BColumn CColumn ARow BRow CRow AElectronegativity BElectronegativity CElectronegativity AAtomicWeight BAtomicWeight CAtomicWeight ACovalentRadius BCovalentRadius CCovalentRadius ASqrtAtomicWeight BSqrtAtomicWeight CSqrtAtomicWeight
GaNCa3 175.1914 116.35776 0.90075 -0.66075 -0.08 3.26754 13.0 15.0 2.0 4.0 2.0 4.0 1.81 3.04 1.0 69.723 14.0067 40.078 122.0 71.0 176.0 8.350029940066083 3.742552604840712 6.330718758561306
HgNLi3 293.2059 67.50476 1.44268 -0.4531 -0.32986 0.08545 12.0 15.0 1.0 6.0 2.0 2.0 2.0 3.04 0.98 200.59 14.0067 6.941 132.0 71.0 128.0 14.162979912433682 3.742552604840712 2.6345777650318087
TlCY3 156.535 119.9614 0.64053 -1.1995 0.18632 0.26745 13.0 14.0 3.0 6.0 2.0 5.0 1.62 2.55 1.22 204.3833 12.0107 88.90585 145.0 76.0 190.0 14.29626874397652 3.4656456829860725 9.42898987166706
AuHPd3 259.2422 66.37349 0.1778 -0.44314 0.08845 4.05121 11.0 1.0 10.0 6.0 1.0 5.0 2.54 2.2 2.2 196.966569 1.00794 106.42 136.0 31.0 139.0 14.03447786702448 1.0039621506809906 10.31600697944704
InHHf3 169.2714 87.38838 0.96952 -0.3474 -0.20737 2.92251 13.0 1.0 4.0 5.0 1.0 6.0 1.78 2.2 1.3 114.818 1.00794 178.49 142.0 31.0 175.0 10.7153161409265 1.0039621506809906 13.360014970051491
HgHPd3 252.6993 68.78722 0.30411 -0.44636 0.04742 4.19457 12.0 1.0 10.0 6.0 1.0 5.0 2.0 2.2 2.2 200.59 1.00794 106.42 132.0 31.0 139.0 14.162979912433682 1.0039621506809906 10.31600697944704
AuHLi3 350.5503 62.04796 1.35767 -0.32077 -0.34563 1.43638 11.0 1.0 1.0 6.0 1.0 2.0 2.54 2.2 0.98 196.966569 1.00794 6.941 136.0 31.0 128.0 14.03447786702448 1.0039621506809906 2.6345777650318087
HgCZr3 160.1678 95.54236 0.72484 -1.10389 0.12635 3.2983 12.0 14.0 4.0 6.0 2.0 5.0 2.0 2.55 1.33 200.59 12.0107 91.224 132.0 76.0 175.0 14.162979912433682 3.4656456829860725 9.551125588117872
TlOSc3 289.8989 89.0435 0.28795 -0.16437 -0.04119 2.66312 13.0 16.0 3.0 6.0 2.0 4.0 1.62 3.44 1.36 204.3833 15.9994 44.955912 145.0 66.0 170.0 14.29626874397652 3.9999249992968617 6.7049170017234365
SbHTi3 168.7204 71.519 -1.96009 -0.3379 0.766 6.33685 15.0 1.0 4.0 5.0 1.0 4.0 2.05 2.2 1.54 121.76 1.00794 47.867 139.0 31.0 160.0 11.034491379306978 1.0039621506809906 6.918598123897644
AlHRh3 198.3149 58.83799 -2.15905 -0.37104 0.84336 4.11802 13.0 1.0 9.0 3.0 1.0 5.0 1.61 2.2 2.28 26.9815386 1.00794 102.9055 121.0 31.0 142.0 5.194375669895276 1.0039621506809906 10.1442348158942
CdCRh3 202.7888 69.83159 -0.29499 -1.35088 0.54862 4.99356 12.0 14.0 9.0 5.0 2.0 5.0 1.69 2.55 2.28 112.411 12.0107 102.9055 144.0 76.0 142.0 10.602405387458074 3.4656456829860725 10.1442348158942
YCRu3 245.6239 72.3651 -0.4938 -1.35158 0.61513 3.22631 3.0 14.0 8.0 5.0 2.0 5.0 1.22 2.55 2.2 88.90585 12.0107 101.07 190.0 76.0 146.0 9.42898987166706 3.4656456829860725 10.053357648069625
SiHCo3 328.0747 43.92998 -2.19941 -0.31483 0.83808 2.78547 14.0 1.0 9.0 3.0 1.0 4.0 1.9 2.2 1.88 28.0855 1.00794 58.933195 111.0 31.0 126.0 5.299575454694461 1.0039621506809906 7.676795881095185
GaOSc3 297.2696 83.11513 0.46704 -0.17928 -0.09592 2.48499 13.0 16.0 3.0 4.0 2.0 4.0 1.81 3.44 1.36 69.723 15.9994 44.955912 122.0 66.0 170.0 8.350029940066083 3.9999249992968617 6.7049170017234365
MgCRh3 210.7736 67.69809 -0.84055 -1.30453 0.71503 4.37518 2.0 14.0 9.0 3.0 2.0 5.0 1.31 2.55 2.28 24.305 12.0107 102.9055 141.0 76.0 142.0 4.930010141977397 3.4656456829860725 10.1442348158942
PbOCa3 260.3784 116.101 0.56725 -0.0386 -0.17622 0.01945 14.0 16.0 2.0 6.0 2.0 4.0 2.33 3.44 1.0 207.2 15.9994 40.078 146.0 66.0 176.0 14.394443372357264 3.9999249992968617 6.330718758561306
ScBRh3 209.139 70.25113 -0.07719 -0.7193 0.2655 4.46404 3.0 13.0 9.0 4.0 2.0 5.0 1.36 2.04 2.28 44.955912 10.811 102.9055 170.0 84.0 142.0 6.7049170017234365 3.2880085158040573 10.1442348158942
TlNSc3 321.7434 89.80152 0.28803 -0.71669 0.14289 2.76865 13.0 15.0 3.0 6.0 2.0 4.0 1.62 3.04 1.36 204.3833 14.0067 44.955912 145.0 71.0 170.0 14.29626874397652 3.742552604840712 6.7049170017234365
BiHHf3 90.9328 90.52786 -0.04514 -0.37232 0.13915 5.18119 15.0 1.0 4.0 6.0 1.0 6.0 2.02 2.2 1.3 208.9804 1.00794 178.49 148.0 31.0 175.0 14.456154398732744 1.0039621506809906 13.360014970051491
PbNCa3 181.4846 120.62427 0.66328 -0.65519 -0.0027 4.54843 14.0 15.0 2.0 6.0 2.0 4.0 2.33 3.04 1.0 207.2 14.0067 40.078 146.0 71.0 176.0 14.394443372357264 3.742552604840712 6.330718758561306
ZrBCo3 260.7815 58.2347 -1.19438 -0.84341 0.67927 0.1234 4.0 13.0 9.0 5.0 2.0 4.0 1.33 2.04 1.88 91.224 10.811 58.933195 175.0 84.0 126.0 9.551125588117872 3.2880085158040573 7.676795881095185
ZrCRu3 270.3327 69.08257 -0.33823 -1.19336 0.51053 1.52473 4.0 14.0 8.0 5.0 2.0 5.0 1.33 2.55 2.2 91.224 12.0107 101.07 175.0 76.0 146.0 9.551125588117872 3.4656456829860725 10.053357648069625
GaNSc3 320.8048 84.66094 0.56384 -0.6796 0.03858 2.57201 13.0 15.0 3.0 4.0 2.0 4.0 1.81 3.04 1.36 69.723 14.0067 44.955912 122.0 71.0 170.0 8.350029940066083 3.742552604840712 6.7049170017234365
ScHPd3 239.4401 66.56641 0.02769 -0.44027 0.13753 0.26996 3.0 1.0 10.0 4.0 1.0 5.0 1.36 2.2 2.2 44.955912 1.00794 106.42 170.0 31.0 139.0 6.7049170017234365 1.0039621506809906 10.31600697944704
MgHZr3 206.0636 91.18298 -0.27045 -0.33569 0.20205 2.91695 2.0 1.0 4.0 3.0 1.0 5.0 1.31 2.2 1.33 24.305 1.00794 91.224 141.0 31.0 175.0 4.930010141977397 1.0039621506809906 9.551125588117872
BiOBa3 120.7888 167.79278 -0.15626 0.16056 -0.00143 3.02875 15.0 16.0 2.0 6.0 2.0 6.0 2.02 3.44 0.89 208.9804 15.9994 137.327 148.0 66.0 215.0 14.456154398732744 3.9999249992968617 11.718660332990286
InNY3 234.2529 112.81516 0.69902 -0.63965 -0.01979 2.48741 13.0 15.0 3.0 5.0 2.0 5.0 1.78 3.04 1.22 114.818 14.0067 88.90585 142.0 71.0 190.0 10.7153161409265 3.742552604840712 9.42898987166706
YBIr3 152.7069 75.85931 -0.19343 -0.71761 0.30368 3.18401 3.0 13.0 9.0 5.0 2.0 6.0 1.22 2.04 2.2 88.90585 10.811 192.217 190.0 84.0 141.0 9.42898987166706 3.2880085158040573 13.86423456235504
AlOCa3 210.2314 114.0342 -1.98994 0.45273 0.5124 3.94197 13.0 16.0 2.0 3.0 2.0 4.0 1.61 3.44 1.0 26.9815386 15.9994 40.078 121.0 66.0 176.0 5.194375669895276 3.9999249992968617 6.330718758561306
YHRh3 245.8962 68.34106 -0.29859 -0.44866 0.24908 3.8789 3.0 1.0 9.0 5.0 1.0 5.0 1.22 2.2 2.28 88.90585 1.00794 102.9055 190.0 31.0 142.0 9.42898987166706 1.0039621506809906 10.1442348158942
CaBRh3 192.661 74.46259 -0.50074 -0.82884 0.44319 4.93557 2.0 13.0 9.0 4.0 2.0 5.0 1.0 2.04 2.28 40.078 10.811 102.9055 176.0 84.0 142.0 6.330718758561306 3.2880085158040573 10.1442348158942
TlBTi3 195.0794 82.01247 0.77415 -0.60807 -0.05536 4.8122 13.0 13.0 4.0 6.0 2.0 4.0 1.62 2.04 1.54 204.3833 10.811 47.867 145.0 84.0 160.0 14.29626874397652 3.2880085158040573 6.918598123897644
InHNb3 165.4331 77.16933 0.58981 -0.35004 -0.07993 2.35439 13.0 1.0 5.0 5.0 1.0 5.0 1.78 2.2 1.6 114.818 1.00794 92.90638 142.0 31.0 164.0 10.7153161409265 1.0039621506809906 9.638795567911998
GaHNi3 249.808 47.85481 0.15908 -0.38823 0.07639 0.60771 13.0 1.0 10.0 4.0 1.0 4.0 1.81 2.2 1.91 69.723 1.00794 58.6934 122.0 31.0 124.0 8.350029940066083 1.0039621506809906 7.661161791791112
SnHNi3 285.168 53.7902 -0.09002 -0.42972 0.17325 3.80283 14.0 1.0 10.0 5.0 1.0 4.0 1.96 2.2 1.91 118.71 1.00794 58.6934 139.0 31.0 124.0 10.895411878400926 1.0039621506809906 7.661161791791112
CdBRh3 169.1137 71.29002 -0.03615 -0.75019 0.26211 4.41934 12.0 13.0 9.0 5.0 2.0 5.0 1.69 2.04 2.28 112.411 10.811 102.9055 144.0 84.0 142.0 10.602405387458074 3.2880085158040573 10.1442348158942
InCNi3 172.1976 57.93833 -0.03606 -1.32833 0.4548 3.67929 13.0 14.0 10.0 5.0 2.0 4.0 1.78 2.55 1.91 114.818 12.0107 58.6934 142.0 76.0 124.0 10.7153161409265 3.4656456829860725 7.661161791791112
GeHCo3 302.4832 46.28489 -0.40474 -0.37044 0.25839 2.90677 14.0 1.0 9.0 4.0 1.0 4.0 2.01 2.2 1.88 72.64 1.00794 58.933195 120.0 31.0 126.0 8.522910301065007 1.0039621506809906 7.676795881095185
TlHTi3 204.6731 73.22699 0.82223 -0.3406 -0.16054 4.89427 13.0 1.0 4.0 6.0 1.0 4.0 1.62 2.2 1.54 204.3833 1.00794 47.867 145.0 31.0 160.0 14.29626874397652 1.0039621506809906 6.918598123897644
AlCCo3 226.7544 51.61046 -2.06516 -0.87629 0.98048 0.93156 13.0 14.0 9.0 3.0 2.0 4.0 1.61 2.55 1.88 26.9815386 12.0107 58.933195 121.0 76.0 126.0 5.194375669895276 3.4656456829860725 7.676795881095185
SnNCa3 215.3689 118.58479 0.82559 -0.66959 -0.052 4.76587 14.0 15.0 2.0 5.0 2.0 4.0 1.96 3.04 1.0 118.71 14.0067 40.078 139.0 71.0 176.0 10.895411878400926 3.742552604840712 6.330718758561306
CdOCa3 133.9139 118.3471 0.45145 -0.00874 -0.14757 2.98549 12.0 16.0 2.0 5.0 2.0 4.0 1.69 3.44 1.0 112.411 15.9994 40.078 144.0 66.0 176.0 10.602405387458074 3.9999249992968617 6.330718758561306
PbNY3 180.151 113.36261 0.50946 -0.63855 0.04303 2.22644 14.0 15.0 3.0 6.0 2.0 5.0 2.33 3.04 1.22 207.2 14.0067 88.90585 146.0 71.0 190.0 14.394443372357264 3.742552604840712 9.42898987166706
HgNZr3 158.8299 91.95452 0.68148 -0.54755 -0.04465 4.45789 12.0 15.0 4.0 6.0 2.0 5.0 2.0 3.04 1.33 200.59 14.0067 91.224 132.0 71.0 175.0 14.162979912433682 3.742552604840712 9.551125588117872
HfHCo3 337.4241 51.86821 -0.30907 -0.41321 0.24076 3.97912 4.0 1.0 9.0 6.0 1.0 4.0 1.3 2.2 1.88 178.49 1.00794 58.933195 175.0 31.0 126.0 13.360014970051491 1.0039621506809906 7.676795881095185
HgNTi3 248.4891 73.24887 0.49933 -0.62658 0.04242 6.72997 12.0 15.0 4.0 6.0 2.0 4.0 2.0 3.04 1.54 200.59 14.0067 47.867 132.0 71.0 160.0 14.162979912433682 3.742552604840712 6.918598123897644
AgNCa3 147.0852 117.34236 0.65907 -0.57319 -0.02862 3.2541 11.0 15.0 2.0 5.0 2.0 4.0 1.93 3.04 1.0 107.8682 14.0067 40.078 145.0 71.0 176.0 10.38596167911282 3.742552604840712 6.330718758561306
AlHZr3 212.6614 85.78884 -2.00542 -0.28922 0.76488 1.51534 13.0 1.0 4.0 3.0 1.0 5.0 1.61 2.2 1.33 26.9815386 1.00794 91.224 121.0 31.0 175.0 5.194375669895276 1.0039621506809906 9.551125588117872
SnBSc3 334.3391 100.88774 0.20157 -0.83997 0.2128 0.36707 14.0 13.0 3.0 5.0 2.0 4.0 1.96 2.04 1.36 118.71 10.811 44.955912 139.0 84.0 170.0 10.895411878400926 3.2880085158040573 6.7049170017234365
SnOSr3 133.1993 138.97879 0.85425 -0.0044 -0.28328 0.02419 14.0 16.0 2.0 5.0 2.0 5.0 1.96 3.44 0.95 118.71 15.9994 87.62 139.0 66.0 195.0 10.895411878400926 3.9999249992968617 9.36055553906925
ZnHZr3 219.0222 84.96966 0.71712 -0.3331 -0.12801 2.21145 12.0 1.0 4.0 4.0 1.0 5.0 1.65 2.2 1.33 65.38 1.00794 91.224 122.0 31.0 175.0 8.085790004693418 1.0039621506809906 9.551125588117872
InHRh3 243.1704 64.30822 -0.07355 -0.43217 0.16858 3.87474 13.0 1.0 9.0 5.0 1.0 5.0 1.78 2.2 2.28 114.818 1.00794 102.9055 142.0 31.0 142.0 10.7153161409265 1.0039621506809906 10.1442348158942
InCSc3 319.1655 94.6812 0.44862 -1.24218 0.26452 0.26194 13.0 14.0 3.0 5.0 2.0 4.0 1.78 2.55 1.36 114.818 12.0107 44.955912 142.0 76.0 170.0 10.7153161409265 3.4656456829860725 6.7049170017234365
InHPd3 192.9149 67.92997 0.43437 -0.43822 0.00128 0.43146 13.0 1.0 10.0 5.0 1.0 5.0 1.78 2.2 2.2 114.818 1.00794 106.42 142.0 31.0 139.0 10.7153161409265 1.0039621506809906 10.31600697944704
HgHHf3 183.0846 85.93564 0.66175 -0.3473 -0.10482 1.9441 12.0 1.0 4.0 6.0 1.0 6.0 2.0 2.2 1.3 200.59 1.00794 178.49 132.0 31.0 175.0 14.162979912433682 1.0039621506809906 13.360014970051491
CdHHf3 187.3987 86.94985 0.50025 -0.34493 -0.05177 1.75836 12.0 1.0 4.0 5.0 1.0 6.0 1.69 2.2 1.3 112.411 1.00794 178.49 144.0 31.0 175.0 10.602405387458074 1.0039621506809906 13.360014970051491
PbCSc3 311.9505 95.12471 0.23724 -1.2501 0.33762 3.08557 14.0 14.0 3.0 6.0 2.0 4.0 2.33 2.55 1.36 207.2 12.0107 44.955912 146.0 76.0 170.0 14.394443372357264 3.4656456829860725 6.7049170017234365
InOSc3 314.2789 88.669 0.41513 -0.18465 -0.07683 3.59325 13.0 16.0 3.0 5.0 2.0 4.0 1.78 3.44 1.36 114.818 15.9994 44.955912 142.0 66.0 170.0 10.7153161409265 3.9999249992968617 6.7049170017234365
AlBSc3 234.9965 100.47961 -2.04505 -0.64336 0.89614 7.31992 13.0 13.0 3.0 3.0 2.0 4.0 1.61 2.04 1.36 26.9815386 10.811 44.955912 121.0 84.0 170.0 5.194375669895276 3.2880085158040573 6.7049170017234365
MgHRh3 242.1385 61.14798 -0.80887 -0.40424 0.40437 2.78489 2.0 1.0 9.0 3.0 1.0 5.0 1.31 2.2 2.28 24.305 1.00794 102.9055 141.0 31.0 142.0 4.930010141977397 1.0039621506809906 10.1442348158942
SnNY3 174.2124 111.29511 0.65281 -0.65548 0.00089 2.92161 14.0 15.0 3.0 5.0 2.0 5.0 1.96 3.04 1.22 118.71 14.0067 88.90585 139.0 71.0 190.0 10.895411878400926 3.742552604840712 9.42898987166706
SnCY3 229.5922 117.67016 0.72022 -1.2214 0.16706 2.4785 14.0 14.0 3.0 5.0 2.0 5.0 1.96 2.55 1.22 118.71 12.0107 88.90585 139.0 76.0 190.0 10.895411878400926 3.4656456829860725 9.42898987166706
SbOBa3 120.1977 162.97397 -1.84817 0.46185 0.46211 2.81071 15.0 16.0 2.0 5.0 2.0 6.0 2.05 3.44 0.89 121.76 15.9994 137.327 139.0 66.0 215.0 11.034491379306978 3.9999249992968617 11.718660332990286
